source_file,metric_group,group_value,metric_name,metric_value
gemma_zero_shot_lemmatized_dailydialog_results,window_size,5.0,macro_f1,0.371747050292104
gemma_zero_shot_lemmatized_dailydialog_results,window_size,7.0,accuracy,0.6776246023329798
gemma_zero_shot_lemmatized_dailydialog_results,window_size,7.0,macro_precision,0.3682215878663706
gemma_zero_shot_lemmatized_dailydialog_results,window_size,7.0,macro_recall,0.4508131801364884
gemma_zero_shot_lemmatized_dailydialog_results,window_size,7.0,macro_f1,0.38617061372524
gemma_zero_shot_lemmatized_dailydialog_results,window_size,9.0,accuracy,0.6755037115588547
gemma_zero_shot_lemmatized_dailydialog_results,window_size,9.0,macro_precision,0.3742411640495264
gemma_zero_shot_lemmatized_dailydialog_results,window_size,9.0,macro_recall,0.457727109982749
gemma_zero_shot_lemmatized_dailydialog_results,window_size,9.0,macro_f1,0.3936464397671294
gemma_zero_shot_lemmatized_dailydialog_results,window_size,11.0,accuracy,0.679745493107105
gemma_zero_shot_lemmatized_dailydialog_results,window_size,11.0,macro_precision,0.4031614049383921
gemma_zero_shot_lemmatized_dailydialog_results,window_size,11.0,macro_recall,0.4673642981913658
gemma_zero_shot_lemmatized_dailydialog_results,window_size,11.0,macro_f1,0.4096929510599123
gemma_zero_shot_dailydialog_results,window_size,1.0,accuracy,0.5864262990455992
gemma_zero_shot_dailydialog_results,window_size,1.0,macro_precision,0.3726106223965158
gemma_zero_shot_dailydialog_results,window_size,1.0,macro_recall,0.4800746454881793
gemma_zero_shot_dailydialog_results,window_size,1.0,macro_f1,0.389246240740937
gemma_zero_shot_dailydialog_results,window_size,3.0,accuracy,0.6383881230116649
gemma_zero_shot_dailydialog_results,window_size,3.0,macro_precision,0.3803371051483498
gemma_zero_shot_dailydialog_results,window_size,3.0,macro_recall,0.4709962134774165
gemma_zero_shot_dailydialog_results,window_size,3.0,macro_f1,0.3954732650143618
gemma_zero_shot_dailydialog_results,window_size,5.0,accuracy,0.6362672322375398
gemma_zero_shot_dailydialog_results,window_size,5.0,macro_precision,0.375379414222148
gemma_zero_shot_dailydialog_results,window_size,5.0,macro_recall,0.4416669379075393
gemma_zero_shot_dailydialog_results,window_size,5.0,macro_f1,0.3811835226976284
gemma_zero_shot_dailydialog_results,window_size,7.0,accuracy,0.6617179215270413
gemma_zero_shot_dailydialog_results,window_size,7.0,macro_precision,0.3820369442419825
gemma_zero_shot_dailydialog_results,window_size,7.0,macro_recall,0.4557454241664768
gemma_zero_shot_dailydialog_results,window_size,7.0,macro_f1,0.3904441268093595
gemma_zero_shot_dailydialog_results,window_size,9.0,accuracy,0.6595970307529162
gemma_zero_shot_dailydialog_results,window_size,9.0,macro_precision,0.4065881525023802
gemma_zero_shot_dailydialog_results,window_size,9.0,macro_recall,0.4842002191626252
gemma_zero_shot_dailydialog_results,window_size,9.0,macro_f1,0.4178668103944071
gemma_zero_shot_dailydialog_results,window_size,11.0,accuracy,0.6606574761399788
gemma_zero_shot_dailydialog_results,window_size,11.0,macro_precision,0.3810033134499628
gemma_zero_shot_dailydialog_results,window_size,11.0,macro_recall,0.449619720296412
gemma_zero_shot_dailydialog_results,window_size,11.0,macro_f1,0.3879159525430307
gemma_least_to_most_dailydialog_results,window_size,1.0,accuracy,0.6405090137857901
gemma_least_to_most_dailydialog_results,window_size,1.0,macro_precision,0.3118793224416336
gemma_least_to_most_dailydialog_results,window_size,1.0,macro_recall,0.4157776068960279
gemma_least_to_most_dailydialog_results,window_size,1.0,macro_f1,0.3319992454894546
gemma_least_to_most_dailydialog_results,window_size,3.0,accuracy,0.6224814422057264
gemma_least_to_most_dailydialog_results,window_size,3.0,macro_precision,0.339843133293219
gemma_least_to_most_dailydialog_results,window_size,3.0,macro_recall,0.4239718614718614
gemma_least_to_most_dailydialog_results,window_size,3.0,macro_f1,0.3569253020641853
gemma_least_to_most_dailydialog_results,window_size,5.0,accuracy,0.6193001060445387
gemma_least_to_most_dailydialog_results,window_size,5.0,macro_precision,0.334735785091365
gemma_least_to_most_dailydialog_results,window_size,5.0,macro_recall,0.405023923444976
gemma_least_to_most_dailydialog_results,window_size,5.0,macro_f1,0.3522679150492803
gemma_least_to_most_dailydialog_results,window_size,7.0,accuracy,0.6436903499469777
gemma_least_to_most_dailydialog_results,window_size,7.0,macro_precision,0.3216170275610889
gemma_least_to_most_dailydialog_results,window_size,7.0,macro_recall,0.4021331738437002
gemma_least_to_most_dailydialog_results,window_size,7.0,macro_f1,0.3416618479427753
gemma_least_to_most_dailydialog_results,window_size,9.0,accuracy,0.6521739130434783
gemma_least_to_most_dailydialog_results,window_size,9.0,macro_precision,0.3361743503698456
gemma_least_to_most_dailydialog_results,window_size,9.0,macro_recall,0.4210673463962937
gemma_least_to_most_dailydialog_results,window_size,9.0,macro_f1,0.3592132644870646
gemma_least_to_most_dailydialog_results,window_size,11.0,accuracy,0.6426299045599152
gemma_least_to_most_dailydialog_results,window_size,11.0,macro_precision,0.2894934172874626
